c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-1BAD5CDB,173,47,Amawbia,Anambra,Agnes Ekwueme,2022-08-12,Verified
C-OF-O-A13FCDC6,96,32,Onitsha GRA,Anambra,Hope Oyekan,2013-01-04,Verified
C-OF-O-B75DCC5A,67,25,Surulere,Lagos,Mark Okafor,2012-05-04,Verified
C-OF-O-FCC830AC,32,29,Ikeja GRA,Lagos,Peter Chukwu,2021-10-19,Verified
C-OF-O-F089AFD5,25,27,Enugu-Ukwu,Anambra,Deborah Akinwale,2012-03-17,Verified
C-OF-O-D871F81D,105,16,Ikoyi,Lagos,John Eze,2016-01-21,Verified
C-OF-O-7FF7D474,21,40,GRA,Enugu,Patience Obasanjo,2015-06-25,Verified
C-OF-O-853E6198,117,41,Onitsha GRA,Anambra,Joshua Eze,2023-11-22,Verified
C-OF-O-AAEC99A8,14,22,Onitsha GRA,Anambra,Emmanuel Adeyemi,2019-06-14,Verified
C-OF-O-6C4CD4D8,131,18,GRA,Enugu,Esther Abiola,2019-11-15,Verified
C-OF-O-04403EBF,62,25,GRA,Enugu,Joshua Chukwu,2017-12-25,Verified
C-OF-O-BFA221C1,43,25,Victoria Island,Lagos,Joy Okafor,2016-03-23,Verified
C-OF-O-2DC0BB30,166,6,New Haven,Enugu,Joseph Ibrahim,2023-03-08,Verified
C-OF-O-00DE77F4,109,16,Nnewi,Anambra,Elizabeth Ibrahim,2018-05-14,Verified
C-OF-O-439EC14A,91,38,Enugu-Ukwu,Anambra,Stephen Obi,2019-06-24,Verified
C-OF-O-783A25D0,94,27,Victoria Island,Lagos,Gabriel Eze,2016-04-02,Verified
C-OF-O-ADAF1116,122,6,Ikoyi,Lagos,Michael Abiola,2018-12-16,Verified
C-OF-O-B01D4F1E,54,27,Uwani,Enugu,Mary Oyekan,2010-10-28,Pledged as Collateral
C-OF-O-62326291,14,49,Trans-Ekulu,Enugu,Gloria Adetokunbo,2019-02-14,Verified
C-OF-O-F54D0A97,171,33,Onitsha GRA,Anambra,Agnes Chukwu,2018-05-19,Verified
C-OF-O-217AC637,8,18,New Haven,Enugu,Angela Ojo,2016-01-07,Verified
C-OF-O-B0CCC579,193,12,Uwani,Enugu,Sarah Okafor,2012-09-13,Verified
C-OF-O-C86C31CC,66,20,Ikoyi,Lagos,Michael Ekwueme,2014-10-02,Verified
C-OF-O-E4BE9878,196,16,Victoria Island,Lagos,Nathaniel Adeyemi,2014-12-26,Verified
C-OF-O-BEEF0899,194,10,Surulere,Lagos,Hope Obi,2021-02-28,Verified
C-OF-O-7EA0A8DF,187,18,Amawbia,Anambra,Elizabeth Okonkwo,2011-02-19,Verified
C-OF-O-F4E119B4,70,12,Nnewi,Anambra,Hope Balogun,2022-04-10,Verified
C-OF-O-D665ABCE,140,10,GRA,Enugu,Simon Obasanjo,2021-12-16,Verified
C-OF-O-020DAF4C,144,35,Amawbia,Anambra,Nathaniel Eze,2015-08-01,Verified
C-OF-O-4BF1F814,200,9,Ikoyi,Lagos,Charity Chukwu,2021-07-06,Verified
C-OF-O-7DEBA59E,106,38,New Haven,Enugu,Charity Balogun,2017-12-04,Verified
C-OF-O-F046E89E,116,17,Amawbia,Anambra,Comfort Ogunleye,2013-08-25,Verified
C-OF-O-8DE55DAA,12,29,Victoria Island,Lagos,Deborah Obasanjo,2019-11-05,Verified
C-OF-O-5798C8F5,27,38,Enugu-Ukwu,Anambra,Gabriel Eze,2018-08-21,Verified
C-OF-O-7C77F92D,92,49,Surulere,Lagos,Stephen Adeyemi,2023-07-05,Verified
C-OF-O-18786243,48,9,New Haven,Enugu,Deborah Nnamani,2024-10-04,Verified
C-OF-O-852DBBC1,114,26,Uwani,Enugu,Faith Oyekan,2019-04-10,Verified
C-OF-O-410B9C5C,188,8,Nnewi,Anambra,Sarah Adetokunbo,2010-12-03,Verified
C-OF-O-144C6DE3,106,44,Victoria Island,Lagos,Joseph Uche,2012-01-06,Verified
C-OF-O-DC849F3F,163,21,New Haven,Enugu,Juliet Oyekan,2012-03-22,Verified
C-OF-O-F9122E73,89,7,Enugu-Ukwu,Anambra,Grace Eze,2013-03-17,Verified
C-OF-O-9AE9EF41,62,7,GRA,Enugu,Angela Uche,2014-07-18,Verified
C-OF-O-EFA52F09,181,3,GRA,Enugu,Paul Adetokunbo,2014-01-26,Verified
C-OF-O-FD3F8623,120,40,New Haven,Enugu,Nathaniel Ibrahim,2011-04-05,Verified
C-OF-O-A54675AC,111,33,Uwani,Enugu,John Olawale,2022-11-29,Verified
C-OF-O-012459D6,128,31,Trans-Ekulu,Enugu,Deborah Adetokunbo,2013-07-16,Verified
C-OF-O-C906F4A8,17,28,Nnewi,Anambra,Nathaniel Eze,2022-10-13,Verified
C-OF-O-2A5B9CBF,195,29,Surulere,Lagos,Michael Chukwu,2024-03-13,Verified
C-OF-O-565F1B50,31,49,Ikoyi,Lagos,Nathaniel Chukwu,2012-10-11,Verified
C-OF-O-99722B1C,40,46,Ikeja GRA,Lagos,Benjamin Eze,2019-03-12,Verified
C-OF-O-C2D186AB,104,19,Onitsha GRA,Anambra,Agnes Ojo,2019-01-12,Verified
C-OF-O-59053C30,41,32,Ikeja GRA,Lagos,David Adetokunbo,2011-08-24,Verified
C-OF-O-3760EF05,132,44,Victoria Island,Lagos,Benjamin Chukwu,2014-09-22,Verified
C-OF-O-95CF0351,194,19,Onitsha GRA,Anambra,Joshua Uche,2019-02-04,Verified
C-OF-O-AF0B2375,55,47,Victoria Island,Lagos,Gloria Nnamani,2017-07-29,Verified
C-OF-O-69F707A8,154,32,Surulere,Lagos,Faith Obi,2017-03-28,Verified
C-OF-O-CD895EF9,111,34,Surulere,Lagos,Juliet Balogun,2018-03-09,Verified
C-OF-O-5B6D5DEA,101,50,Amawbia,Anambra,Ruth Oyekan,2013-02-02,Verified
C-OF-O-7EFA874B,158,23,GRA,Enugu,Patience Obi,2023-08-21,Verified
C-OF-O-4697C1FB,96,34,Enugu-Ukwu,Anambra,Nathaniel Ojo,2016-01-23,Under Dispute
C-OF-O-9F9BABD5,108,36,New Haven,Enugu,Philip Nnamani,2015-10-08,Verified
C-OF-O-1E131955,105,48,Amawbia,Anambra,Joshua Abiola,2018-07-14,Verified
C-OF-O-8F9990B4,140,3,Nnewi,Anambra,Juliet Olawale,2011-06-15,Verified
C-OF-O-291AB1CF,131,13,Victoria Island,Lagos,Benjamin Olawale,2023-04-13,Verified
C-OF-O-CEE66384,146,42,Amawbia,Anambra,Mark Ekwueme,2016-06-10,Verified
C-OF-O-C5E97A62,72,47,Onitsha GRA,Anambra,Samuel Eze,2023-08-30,Verified
C-OF-O-8789024A,175,16,Ikeja GRA,Lagos,Gloria Okafor,2016-07-13,Verified
C-OF-O-3CFB623F,52,46,Ikeja GRA,Lagos,Juliet Eze,2015-01-12,Verified
C-OF-O-3DCBD591,178,25,GRA,Enugu,Juliet Adeyemi,2021-02-19,Verified
C-OF-O-B3D71BF4,5,7,Uwani,Enugu,James Uche,2015-12-15,Verified
C-OF-O-7D7EF65A,148,12,Ikoyi,Lagos,Joy Adetokunbo,2014-08-24,Verified
C-OF-O-04E10AFF,148,17,Amawbia,Anambra,Gloria Okafor,2024-07-06,Verified
C-OF-O-1C2DAF5A,200,13,Trans-Ekulu,Enugu,Gloria Okafor,2015-11-11,Verified
C-OF-O-61F6E0B2,75,49,GRA,Enugu,Philip Obasanjo,2012-07-27,Verified
C-OF-O-F27D5AD3,56,48,Victoria Island,Lagos,Mark Ojo,2019-07-08,Verified
C-OF-O-1FA5D454,168,28,Nnewi,Anambra,Ruth Ekwueme,2017-05-24,Verified
C-OF-O-D78095A2,152,17,Ikeja GRA,Lagos,Comfort Obi,2016-01-04,Verified
C-OF-O-C0EADEE9,111,21,Uwani,Enugu,Joseph Chukwu,2017-11-04,Verified
C-OF-O-247FC251,7,48,Uwani,Enugu,Mark Oshodi,2012-08-08,Verified
C-OF-O-2433C950,194,49,Ikoyi,Lagos,Agnes Abiola,2022-10-29,Verified
C-OF-O-74E90BCF,97,13,GRA,Enugu,David Akinwale,2011-06-03,Verified
C-OF-O-ED2530FB,3,40,Ikeja GRA,Lagos,John Adetokunbo,2019-12-10,Verified
C-OF-O-AA3A8630,142,38,Enugu-Ukwu,Anambra,John Ogunleye,2023-03-09,Verified
C-OF-O-8007F529,143,34,Onitsha GRA,Anambra,Joseph Ogunleye,2020-12-29,Verified
C-OF-O-5E691499,116,29,New Haven,Enugu,Emmanuel Olawale,2021-08-14,Verified
C-OF-O-2E56CC59,117,18,Uwani,Enugu,Hope Obasanjo,2017-09-29,Verified
C-OF-O-501A218C,29,39,Trans-Ekulu,Enugu,Comfort Obi,2017-10-13,Verified
C-OF-O-37B33969,69,28,Surulere,Lagos,Benjamin Ojo,2024-08-02,Verified
C-OF-O-B3B8E6B9,104,39,Onitsha GRA,Anambra,Esther Okafor,2015-08-14,Verified
C-OF-O-EFEFAE29,35,12,Uwani,Enugu,Grace Ogunleye,2016-05-05,Verified
C-OF-O-60655C84,69,48,Trans-Ekulu,Enugu,Gloria Obi,2013-02-10,Verified
C-OF-O-8CEDE573,29,35,New Haven,Enugu,Mark Adetokunbo,2022-04-04,Verified
C-OF-O-C9BD9232,98,41,Onitsha GRA,Anambra,Elizabeth Chukwu,2015-06-18,Verified
C-OF-O-DF206E58,123,33,GRA,Enugu,Samuel Obi,2015-04-26,Verified
C-OF-O-08130D34,32,5,Ikoyi,Lagos,Nathaniel Akinwale,2021-01-04,Verified
C-OF-O-762D23B4,76,43,Uwani,Enugu,Andrew Ibrahim,2015-01-13,Verified
C-OF-O-5AAB55D5,196,32,Ikeja GRA,Lagos,Charity Ibrahim,2015-06-24,Verified
C-OF-O-6EEA486B,127,44,Onitsha GRA,Anambra,Angela Chukwu,2016-04-09,Verified
C-OF-O-CF49110D,60,34,Surulere,Lagos,Charity Ogunleye,2018-10-23,Verified
C-OF-O-54566B04,30,32,New Haven,Enugu,Comfort Oyekan,2018-02-03,Verified
C-OF-O-09F87C04,134,17,Ikoyi,Lagos,Emmanuel Nnamani,2011-06-21,Verified
C-OF-O-01EFE71A,78,17,Amawbia,Anambra,Samuel Balogun,2012-12-11,Verified
C-OF-O-00E2FA0C,65,36,Trans-Ekulu,Enugu,Juliet Abiola,2012-07-10,Verified
C-OF-O-0CD7C545,161,27,New Haven,Enugu,Mark Akinwale,2021-11-06,Verified
C-OF-O-0CE5ABBC,191,43,Surulere,Lagos,Angela Okafor,2022-02-02,Verified
C-OF-O-E56B5344,69,23,Ikeja GRA,Lagos,Hope Oyekan,2019-12-26,Verified
C-OF-O-DEFC8979,27,47,Surulere,Lagos,Daniel Oshodi,2014-04-18,Verified
C-OF-O-B1A27FC9,126,16,GRA,Enugu,Samuel Okafor,2021-02-27,Verified
C-OF-O-675C1BD0,159,13,Amawbia,Anambra,Deborah Balogun,2022-05-10,Under Dispute
C-OF-O-22ED96CA,37,40,Nnewi,Anambra,Daniel Uche,2016-10-01,Verified
C-OF-O-4572A464,32,10,Onitsha GRA,Anambra,Emmanuel Ekwueme,2015-05-04,Verified
C-OF-O-39DD0F01,66,6,Ikeja GRA,Lagos,Grace Ibrahim,2018-04-05,Verified
C-OF-O-2491C9EA,170,31,Ikoyi,Lagos,Benjamin Ogunleye,2018-09-06,Verified
C-OF-O-6EEF36F0,6,17,Ikeja GRA,Lagos,Angela Oshodi,2011-10-03,Verified
C-OF-O-7DF97DE6,84,37,Ikoyi,Lagos,Nathaniel Akinwale,2019-09-04,Verified
C-OF-O-EB8A466F,106,39,Uwani,Enugu,Stephen Oyekan,2015-04-05,Verified
C-OF-O-DE9BDFCA,20,46,Victoria Island,Lagos,Elizabeth Chukwu,2016-03-08,Verified
C-OF-O-BDBCC256,104,47,Enugu-Ukwu,Anambra,Gloria Akinwale,2015-10-25,Verified
C-OF-O-233585AB,190,6,Surulere,Lagos,Hope Ekwueme,2014-06-30,Verified
C-OF-O-B6170976,107,1,Enugu-Ukwu,Anambra,Grace Adetokunbo,2019-07-20,Verified
C-OF-O-4FF16B82,177,38,Surulere,Lagos,Ruth Ojo,2018-11-04,Verified
C-OF-O-B1A6ECAC,67,26,Ikeja GRA,Lagos,Samuel Obasanjo,2015-06-01,Verified
C-OF-O-6A0A8930,38,3,Onitsha GRA,Anambra,Sarah Okonkwo,2018-04-03,Verified
C-OF-O-1B5CE3F7,26,42,Enugu-Ukwu,Anambra,Angela Obi,2022-05-21,Verified
C-OF-O-467468B2,167,28,Ikeja GRA,Lagos,Grace Adetokunbo,2018-09-30,Verified
C-OF-O-BB89BB0A,82,31,Enugu-Ukwu,Anambra,Joy Oyekan,2019-01-10,Verified
C-OF-O-44B01F60,41,2,Enugu-Ukwu,Anambra,Stephen Uche,2017-06-17,Verified
C-OF-O-D0308A38,141,49,Amawbia,Anambra,Comfort Adeyemi,2023-03-27,Verified
C-OF-O-19222A72,64,5,Ikoyi,Lagos,Victoria Okonkwo,2020-04-23,Verified
C-OF-O-B8528A61,16,11,Onitsha GRA,Anambra,David Ojo,2020-02-27,Verified
C-OF-O-672F1AC3,53,6,Onitsha GRA,Anambra,Philip Olawale,2020-06-18,Verified
C-OF-O-F0E68AFB,123,15,Nnewi,Anambra,Benjamin Ekwueme,2013-09-02,Verified
C-OF-O-EA700D57,44,41,Onitsha GRA,Anambra,Michael Okafor,2013-02-26,Verified
C-OF-O-EF9C702C,164,44,Surulere,Lagos,Andrew Akinwale,2018-03-13,Verified
C-OF-O-84F42899,30,40,Amawbia,Anambra,Ruth Ojo,2022-11-07,Verified
C-OF-O-9A345ABC,12,9,Enugu-Ukwu,Anambra,Cornelius Obi,2011-06-26,Verified
C-OF-O-400156AB,35,34,Amawbia,Anambra,Peace Okafor,2016-02-14,Verified
C-OF-O-DA1BB2C2,73,9,GRA,Enugu,Victoria Ojo,2019-11-21,Verified
C-OF-O-A292852C,42,27,Onitsha GRA,Anambra,Agnes Uche,2023-05-18,Verified
C-OF-O-9CBBA472,179,48,Victoria Island,Lagos,Nathaniel Ibrahim,2013-10-27,Verified
C-OF-O-C5CD3973,165,32,Ikoyi,Lagos,Michael Adetokunbo,2022-10-12,Verified
C-OF-O-EB207C2A,75,14,Trans-Ekulu,Enugu,Deborah Nnamani,2023-04-07,Verified
C-OF-O-02B26B59,40,40,Trans-Ekulu,Enugu,Samuel Uche,2018-03-04,Verified
C-OF-O-08DA3F04,82,9,Uwani,Enugu,Patience Ekwueme,2020-08-03,Verified
C-OF-O-AFFCDE8A,120,1,New Haven,Enugu,Blessing Chukwu,2016-08-24,Verified
C-OF-O-EFB7EBB1,155,23,Nnewi,Anambra,Blessing Nnamani,2017-08-23,Pledged as Collateral
C-OF-O-2EDE181D,90,4,Uwani,Enugu,Juliet Chukwu,2013-06-12,Verified
C-OF-O-CED45AF6,153,38,Victoria Island,Lagos,Simon Uche,2018-07-21,Verified
C-OF-O-25F387EC,98,6,Trans-Ekulu,Enugu,Paul Oshodi,2015-03-11,Verified
C-OF-O-B5CDD3CB,24,27,Ikeja GRA,Lagos,Gabriel Obasanjo,2018-08-16,Verified
C-OF-O-C5EA0B71,168,23,Ikoyi,Lagos,Joseph Akinwale,2012-06-28,Verified
C-OF-O-F2122CF5,116,45,Uwani,Enugu,Paul Adeyemi,2024-09-19,Verified
C-OF-O-59C983B4,32,7,Ikeja GRA,Lagos,Sarah Ibrahim,2018-04-03,Verified
C-OF-O-8A2D31B0,71,24,Trans-Ekulu,Enugu,Sarah Ojo,2012-11-12,Verified
C-OF-O-D31270AE,133,4,Ikeja GRA,Lagos,Mark Olawale,2016-10-11,Verified
C-OF-O-B28EE07D,101,29,Enugu-Ukwu,Anambra,Gabriel Oshodi,2012-10-27,Verified
C-OF-O-A8F169CE,5,44,Trans-Ekulu,Enugu,Agnes Nnamani,2024-09-11,Verified
C-OF-O-FC5E961F,39,10,Uwani,Enugu,Daniel Uche,2013-05-31,Verified
C-OF-O-9320C48A,52,30,GRA,Enugu,John Okonkwo,2013-06-17,Verified
C-OF-O-B48C507C,113,43,Ikeja GRA,Lagos,Paul Ibrahim,2022-05-02,Verified
C-OF-O-6AE02A3A,37,46,Ikoyi,Lagos,Patience Olawale,2018-05-19,Verified
C-OF-O-541D28AF,179,23,Ikoyi,Lagos,Michael Oyekan,2024-02-21,Verified
C-OF-O-B81B663D,179,32,Enugu-Ukwu,Anambra,John Oyekan,2020-11-26,Verified
C-OF-O-555FA076,112,38,Amawbia,Anambra,Elizabeth Okafor,2015-06-04,Verified
C-OF-O-66EAAF40,57,40,New Haven,Enugu,Blessing Obasanjo,2023-12-11,Verified
C-OF-O-023FFB20,3,20,GRA,Enugu,Gabriel Oyekan,2017-03-18,Verified
C-OF-O-4031E5ED,139,49,Amawbia,Anambra,Sarah Uche,2019-06-03,Verified
C-OF-O-12BD96B5,60,21,Amawbia,Anambra,Joy Ekwueme,2022-05-20,Verified
C-OF-O-51B79AC0,27,34,Victoria Island,Lagos,Ruth Ogunleye,2014-04-15,Verified
C-OF-O-E46F1906,95,25,Ikeja GRA,Lagos,Joseph Obi,2017-07-31,Verified
C-OF-O-50CF64E6,112,39,GRA,Enugu,Comfort Adeyemi,2020-07-21,Verified
C-OF-O-123C4AD4,29,25,Victoria Island,Lagos,Gabriel Uche,2016-04-24,Verified
C-OF-O-75537CDD,197,40,Surulere,Lagos,Peace Abiola,2014-07-15,Verified
C-OF-O-29FEEF68,197,36,Trans-Ekulu,Enugu,Agnes Obi,2011-05-25,Verified
C-OF-O-BA367F9F,94,48,Nnewi,Anambra,Paul Olawale,2020-06-11,Verified
C-OF-O-E634EB28,114,20,GRA,Enugu,Peter Oshodi,2019-01-24,Verified
C-OF-O-810F8737,64,25,Surulere,Lagos,Faith Balogun,2021-10-03,Verified
C-OF-O-F27871DE,93,42,GRA,Enugu,Samuel Okafor,2018-04-05,Verified
C-OF-O-A75F75D2,157,50,Trans-Ekulu,Enugu,Peter Oshodi,2023-08-29,Verified
C-OF-O-7E82BAC1,160,41,Surulere,Lagos,Emmanuel Oyekan,2017-11-03,Verified
C-OF-O-74616F0F,189,43,Ikeja GRA,Lagos,Gloria Okonkwo,2020-05-16,Verified
C-OF-O-6A5A744D,179,15,Amawbia,Anambra,Faith Olawale,2012-06-17,Verified
C-OF-O-5D4B5C1D,147,44,New Haven,Enugu,Michael Abiola,2017-02-21,Verified
C-OF-O-C1052D4A,147,5,Victoria Island,Lagos,Sarah Obasanjo,2011-11-06,Verified
C-OF-O-B32F17D1,188,32,GRA,Enugu,Agnes Obi,2014-07-16,Verified
C-OF-O-2D017AA2,17,11,Trans-Ekulu,Enugu,Joy Nnamani,2020-10-03,Verified
C-OF-O-8E209202,158,36,Victoria Island,Lagos,Ruth Oshodi,2023-05-21,Verified
C-OF-O-F7BA5439,33,42,Enugu-Ukwu,Anambra,David Okafor,2015-12-05,Verified
C-OF-O-814B4858,96,18,GRA,Enugu,Elizabeth Okonkwo,2015-07-12,Verified
C-OF-O-86F5E333,5,24,Ikoyi,Lagos,Joseph Oshodi,2022-09-13,Verified
C-OF-O-65218428,77,14,Ikeja GRA,Lagos,Simon Ojo,2019-12-07,Verified
C-OF-O-8BB845E2,3,3,GRA,Enugu,Comfort Abiola,2024-08-09,Verified
C-OF-O-B31A5001,178,7,Surulere,Lagos,Simon Oyekan,2016-11-16,Verified
C-OF-O-B58EBBDF,180,32,Nnewi,Anambra,Patience Akinwale,2020-07-22,Verified
C-OF-O-566655E4,178,13,Enugu-Ukwu,Anambra,Peter Obasanjo,2015-01-25,Verified
C-OF-O-CA2EDA7A,174,32,Nnewi,Anambra,Joseph Oshodi,2011-01-09,Verified
C-OF-O-AF15C1A4,122,27,GRA,Enugu,Peter Uche,2021-10-27,Verified
C-OF-O-7A6CA256,175,35,GRA,Enugu,Grace Eze,2020-04-29,Verified
C-OF-O-17DCC0D0,149,1,Ikoyi,Lagos,Grace Ogunleye,2013-12-10,Verified
C-OF-O-B466CF66,170,41,Enugu-Ukwu,Anambra,Gabriel Adetokunbo,2016-04-09,Verified
C-OF-O-67C8F5FD,35,15,GRA,Enugu,Nathaniel Oshodi,2022-06-19,Verified
C-OF-O-3DD49798,119,19,New Haven,Enugu,Mark Ibrahim,2018-12-06,Verified
C-OF-O-3CB48F4E,139,23,Enugu-Ukwu,Anambra,Samuel Chukwu,2012-08-04,Verified
C-OF-O-26C48921,91,19,Victoria Island,Lagos,Cornelius Ogunleye,2012-07-09,Verified
C-OF-O-E99B2071,74,9,New Haven,Enugu,Peace Oyekan,2018-10-10,Verified
C-OF-O-73039258,59,48,New Haven,Enugu,Angela Chukwu,2023-03-30,Verified
C-OF-O-F3198F34,106,39,Victoria Island,Lagos,Hope Oshodi,2022-12-09,Verified
C-OF-O-57540C18,157,35,Surulere,Lagos,Stephen Abiola,2015-04-17,Verified
C-OF-O-2BECD5E7,101,24,GRA,Enugu,Agnes Ibrahim,2013-08-24,Verified
C-OF-O-090B2F7F,182,7,Enugu-Ukwu,Anambra,Hope Akinwale,2016-07-17,Verified
C-OF-O-A29F2EC2,189,18,Ikoyi,Lagos,Philip Chukwu,2014-10-28,Verified
C-OF-O-F0074C6F,62,10,Amawbia,Anambra,Patience Akinwale,2017-06-07,Verified
C-OF-O-8C4D7C09,74,40,GRA,Enugu,Stephen Nnamani,2022-10-27,Verified
C-OF-O-6A0AFE78,100,13,Nnewi,Anambra,Paul Oshodi,2020-07-11,Verified
C-OF-O-B6467EF8,40,20,Uwani,Enugu,Gabriel Ibrahim,2017-08-29,Verified
C-OF-O-03BF420A,68,49,Amawbia,Anambra,John Obasanjo,2015-03-31,Verified
C-OF-O-121361AD,75,18,New Haven,Enugu,Blessing Ojo,2016-10-05,Verified
C-OF-O-00C78178,53,30,Surulere,Lagos,Mary Obi,2019-08-17,Verified
C-OF-O-1B330246,129,50,Nnewi,Anambra,Philip Ibrahim,2024-07-29,Verified
C-OF-O-DF4D876E,54,3,Nnewi,Anambra,Gabriel Abiola,2023-06-13,Verified
C-OF-O-FF4ED63F,61,25,New Haven,Enugu,Philip Obi,2013-04-10,Verified
C-OF-O-96BA36F7,148,42,Trans-Ekulu,Enugu,Peace Balogun,2018-04-25,Verified
C-OF-O-1BEED374,168,26,Onitsha GRA,Anambra,Emmanuel Oyekan,2023-07-05,Verified
C-OF-O-0C591231,107,26,New Haven,Enugu,Philip Abiola,2012-07-14,Verified
C-OF-O-1E87F8ED,68,48,New Haven,Enugu,Benjamin Adetokunbo,2016-05-28,Pledged as Collateral
C-OF-O-8C0708C4,58,37,Enugu-Ukwu,Anambra,Philip Chukwu,2019-10-16,Verified
C-OF-O-83D99335,39,28,Uwani,Enugu,Peace Adetokunbo,2015-03-17,Verified
